DATE,cpercent
2/16/2001,-0.013937282
2/20/2001,0.005300353
2/21/2001,-0.021968366
2/22/2001,-0.008984726
2/23/2001,0.000906618
2/26/2001,0.009057971
2/27/2001,0.014362657
2/28/2001,-0.001769912
3/1/2001,-0.028368794
3/2/2001,0.015510949
3/5/2001,0.008086253
3/6/2001,0.000891266
3/7/2001,0.005342832
3/8/2001,0.038086802
3/9/2001,-0.006825939
3/12/2001,-0.0395189
3/13/2001,-0.03667263
3/14/2001,-0.00185701
3/15/2001,0.015813953
3/16/2001,-0.029304029
3/19/2001,0.018867925
3/20/2001,-0.025925926
3/21/2001,-0.015209125
3/22/2001,-0.017374517
3/23/2001,0
3/26/2001,0.021611002
3/27/2001,0.013461538
3/28/2001,-0.0056926
3/29/2001,-0.019083969
3/30/2001,0.010700389
4/2/2001,-0.01732435
4/3/2001,-0.021449559
4/4/2001,-0.01291162
4/5/2001,0.046440884
4/6/2001,-0.011627907
4/9/2001,0.025490196
4/10/2001,0.038240918
4/11/2001,-0.016574586
4/12/2001,0.008426966
4/16/2001,0.025998143
4/17/2001,-0.014479638
4/18/2001,0.065197429
4/19/2001,0.004310345
4/20/2001,-0.034334764
4/23/2001,0.033777778
4/24/2001,-0.00171969
4/25/2001,0.007751938
4/26/2001,0.006837607
4/27/2001,0.010186757
4/30/2001,0
5/1/2001,-0.012605042
5/2/2001,-0.007659574
5/3/2001,0.010291595
5/4/2001,0.018675722
5/7/2001,-0.0175
5/8/2001,-0.012722646
5/9/2001,0.004295533
5/10/2001,0.009409752
5/11/2001,-0.005084746
5/14/2001,0.007666099
5/15/2001,-0.000845309
5/16/2001,0.061759729
5/17/2001,-0.014342629
5/18/2001,-0.004850445
5/21/2001,0
5/22/2001,-0.017059301
5/23/2001,-0.003305785
5/24/2001,-0.013266998
5/25/2001,-0.001680672
5/29/2001,0.008417508
5/30/2001,-0.020033389
5/31/2001,0.010221465
6/1/2001,0.006745363
6/4/2001,0.005025126
6/5/2001,0.0125
6/6/2001,0.000823045
6/7/2001,0.001644737
6/8/2001,-0.013957307
6/11/2001,0.001665279
6/12/2001,0.014962594
6/13/2001,-0.000819001
6/14/2001,-0.009836066
6/15/2001,0.000827815
6/18/2001,0.010752688
6/19/2001,-0.014729951
6/20/2001,-0.014950166
6/21/2001,-0.019392917
6/22/2001,0.004299226
6/25/2001,-0.009417808
6/26/2001,-0.00605013
6/27/2001,-0.006086957
6/28/2001,0.01399825
6/29/2001,-0.01553063
7/2/2001,0.028045574
7/3/2001,-0.004262575
7/5/2001,-0.003424658
7/6/2001,-0.015463918
7/9/2001,0.002617801
7/10/2001,-0.027850305
7/11/2001,0
7/12/2001,0.016114593
7/13/2001,-0.011453744
7/16/2001,-0.018716578
7/17/2001,0.025431426
7/18/2001,0.007971656
7/19/2001,0.007908612
7/20/2001,-0.014821273
7/23/2001,-0.015044248
7/24/2001,-0.037735849
7/25/2001,0.030812325
7/26/2001,0.009963768
7/27/2001,0
7/30/2001,-0.019730942
7/31/2001,0.02378774
8/1/2001,-0.008042895
8/2/2001,0.002702703
8/3/2001,0.00359389
8/6/2001,-0.020590868
8/7/2001,0.013711152
8/8/2001,-0.024346258
8/9/2001,-0.006469501
8/10/2001,0.022325581
8/13/2001,0.005459509
8/14/2001,-0.012669683
8/15/2001,0.005499542
8/16/2001,-0.006381039
8/17/2001,-0.002752294
8/20/2001,-0.000919963
8/21/2001,-0.007366483
8/22/2001,0.018552876
8/23/2001,-0.012750455
8/24/2001,0.020295203
8/27/2001,0
8/28/2001,-0.011754069
8/29/2001,-0.022872827
8/30/2001,-0.024344569
8/31/2001,-0.000959693
9/4/2001,0.004803074
9/5/2001,0.003824092
9/6/2001,-0.01047619
9/7/2001,-0.029836381
9/10/2001,0.013888889
9/17/2001,-0.066046967
9/18/2001,-0.013724463
9/19/2001,-0.017951986
9/20/2001,-0.023039481
9/21/2001,-0.036979628
9/24/2001,0.053920441
9/25/2001,0.015926694
9/26/2001,0.00268442
9/27/2001,0.031377169
9/28/2001,0.021700758
10/1/2001,-0.015650407
10/2/2001,0.003613463
10/3/2001,0.024483078
10/4/2001,0.000502058
10/5/2001,0.001003613
10/8/2001,-0.012933627
10/9/2001,-0.000101574
10/10/2001,0.034132466
10/11/2001,0.042239686
10/12/2001,-0.015080113
10/15/2001,0.012440191
10/16/2001,0.003780718
10/17/2001,-0.028248588
10/18/2001,-0.001937984
10/19/2001,-0.00776699
10/22/2001,0.050880626
10/23/2001,-0.009310987
10/24/2001,0.002819549
10/25/2001,0.018744142
10/26/2001,0.010119595
10/29/2001,-0.030054645
10/30/2001,-0.010328638
10/31/2001,-0.009487666
11/1/2001,0.018199234
11/2/2001,0.017873942
11/5/2001,0.021256932
11/6/2001,-0.009954751
11/7/2001,0.010054845
11/8/2001,0.008144796
11/9/2001,0.000897666
11/12/2001,-0.004484305
11/13/2001,0.021621622
11/14/2001,0.013227513
11/15/2001,-0.002610966
11/16/2001,0.003490401
11/19/2001,0.014782609
11/20/2001,-0.00428449
11/21/2001,-0.006884682
11/23/2001,0.016464471
11/26/2001,-0.002557545
11/27/2001,-0.006837607
11/28/2001,-0.013769363
11/29/2001,0.005235602
11/30/2001,-0.005208333
12/3/2001,-0.006108202
12/4/2001,0.021949078
12/5/2001,0.021477663
12/6/2001,-0.000841043
12/7/2001,-0.004208754
12/10/2001,-0.022823331
12/11/2001,0.001730104
12/12/2001,0.001727116
12/13/2001,-0.00862069
12/14/2001,0.006956522
12/17/2001,0.012953368
12/18/2001,0.018755328
12/19/2001,0.00251046
12/20/2001,-0.010851419
12/21/2001,0.005907173
12/24/2001,0.001677852
12/26/2001,0.010050251
12/27/2001,-0.00331675
12/28/2001,-0.00249584
12/31/2001,-0.014178482
1/2/2002,-0.009306261
1/3/2002,-0.002561913
1/4/2002,0.002568493
1/7/2002,-0.011955594
1/8/2002,-0.005185825
1/9/2002,-0.003475239
1/10/2002,-0.013077594
1/11/2002,0.005300353
1/14/2002,-0.017574692
1/15/2002,-0.020572451
1/16/2002,-0.052968037
1/17/2002,0.007714561
1/18/2002,0.022009569
1/22/2002,-0.003745318
1/23/2002,0.010338346
1/24/2002,0.018604651
1/25/2002,0.015525114
1/28/2002,-0.006294964
1/29/2002,-0.016289593
1/30/2002,0.011039558
1/31/2002,0.010009099
2/1/2002,0.020720721
2/4/2002,-0.033539276
2/5/2002,-0.007305936
2/6/2002,0.009199632
2/7/2002,-0.001823154
2/8/2002,0.015525114
2/11/2002,0.025179856
2/12/2002,0.001754386
2/13/2002,0.014010508
2/14/2002,0.009499136
2/15/2002,-0.011976048
2/19/2002,-0.012987013
2/20/2002,0.027192982
2/21/2002,-0.009393681
2/22/2002,0.025862069
2/25/2002,0.012605042
2/26/2002,-0.009958506
2/27/2002,-0.002514669
2/28/2002,-0.009243697
3/1/2002,0.020356234
3/4/2002,0.02244389
3/5/2002,-0.022764228
3/6/2002,0.011647255
3/7/2002,-0.004111842
3/8/2002,0.003303055
3/11/2002,-0.008230453
3/12/2002,0.006639004
3/13/2002,-0.014839242
3/14/2002,0.009205021
3/15/2002,0.006633499
3/18/2002,0.006589786
3/19/2002,-0.004091653
3/20/2002,-0.014790468
3/21/2002,-0.013344454
3/22/2002,-0.016060862
3/25/2002,-0.006013746
3/26/2002,0.008643042
3/27/2002,0.002570694
3/28/2002,-0.017094017
4/1/2002,0.002608696
4/2/2002,-0.002601908
4/3/2002,-0.01826087
4/4/2002,0.010628875
4/5/2002,0.068361087
4/8/2002,0.013945857
4/9/2002,0.010517799
4/10/2002,0.001601281
4/11/2002,-0.010391687
4/12/2002,-0.012924071
4/15/2002,-0.004909984
4/16/2002,0.023026316
4/17/2002,-0.007234727
4/18/2002,0.001619433
4/19/2002,0.009700889
4/22/2002,0.000800641
4/23/2002,-0.0056
4/24/2002,0.009654063
4/25/2002,0.011952191
4/26/2002,-0.020472441
4/29/2002,-0.014469453
4/30/2002,0.026101142
5/1/2002,0.001589825
5/2/2002,0.00952381
5/3/2002,-0.001572327
5/6/2002,-0.022047244
5/7/2002,0.000805153
5/8/2002,0.015285599
5/9/2002,0.000792393
5/10/2002,0.004750594
5/13/2002,0.012608353
5/14/2002,0.011673152
5/15/2002,-0.003846154
5/16/2002,-0.000772201
5/17/2002,0.005409583
5/20/2002,-0.014604151
5/21/2002,-0.009360374
5/22/2002,0.003937008
5/23/2002,0.007843137
5/24/2002,-0.003891051
5/28/2002,-0.009375
5/29/2002,-0.014195584
5/30/2002,0.0008
5/31/2002,0.002398082
6/3/2002,-0.007177033
