R,ClPr,OPEN,pre_HIGH,pre_LOW,prev_VOLUME,2dayprice_change,SMA5,SMA10,SMA20
0,165.81,165.18,167.08,164.84,2092183,0.18,167.044,167.995,167.961
0,166.4,167.11,166.5499,164.65,1617437,-1.35,166.6,167.611,167.853
0,167.53,165.63,167.49,165.92,2022797,-0.41,166.562,167.296,167.756
0,166.63,166.75,167.74,164.79,2011569,1.72,166.742,167.171,167.7635
0,166.75,165.37,167.5,166.5,1777204,0.23,166.636,167.018,167.745
0,164.39,164.93,167.215,165.16,2195874,-0.78,166.624,166.834,167.6945
0,166.28,164.93,164.99,163.12,2525004,-2.24,166.34,166.47,167.605
0,164.46,163.68,166.65,164.58,2336768,-0.47,166.316,166.439,167.5
0,164.27,164.6,164.54,163.0472,1868669,0.07,165.702,166.222,167.29
0,164.91,164.5,164.99,163.46,2304955,-2.01,165.23,165.933,167.0705
0,164.84,165.05,165.5,164.39,2146288,0.45,164.862,165.743,166.869
0,165.33,164.15,165.31,164.41,2095053,0.57,164.952,165.646,166.6285
0,163.75,163.16,165.33,163.9,5852042,0.42,164.762,165.539,166.4175
0,162.89,161.96,164.36,162.84,2790076,-1.09,164.62,165.161,166.166
0,162.41,160.16,163.3,161.52,1927690,-2.44,164.344,164.787,165.9025
0,161.81,161.61,162.5,159.35,1828242,-1.34,163.844,164.353,165.5935
0,161.88,161.14,162.77,161,1747318,-1.08,163.238,164.095,165.2825
0,159.89,160.77,162.05,160.65,1697170,-0.53,162.548,163.655,165.047
0,160.09,160.5,160.8,158.28,1875660,-1.92,161.776,163.198,164.71
0,160.2,159.4,160.78,159.52,1883182,-1.79,161.216,162.78,164.3565
0,160.57,159.98,160.61,159.35,2010709,0.31,160.774,162.309,164.026
0,160.07,159.46,160.57,158.1701,2012810,0.48,160.526,161.882,163.764
0,159.38,159.41,160.29,158.92,1766328,-0.13,160.164,161.356,163.4475
0,159.41,158.88,159.69,158.51,1926039,-1.19,160.062,160.919,163.04
0,159.59,158.75,159.88,158.54,1807199,-0.66,159.926,160.571,162.679
0,156.87,158.01,159.7,157.61,2204125,0.21,159.804,160.289,162.321
0,158.27,159.15,159.12,156.82,1992551,-2.54,159.064,159.795,161.945
0,158.99,157.54,159.5,158.08,1843721,-1.32,158.704,159.434,161.5445
0,157.22,154.84,159,157.01,1718362,2.12,158.626,159.344,161.271
0,156.17,157.63,157.6155,153.64,1937494,-1.05,158.188,159.057,160.9185
0,157.7,157.5,157.6899,155.165,1922760,-2.82,157.504,158.654,160.4815
0,156.45,157,158.48,157.11,2207565,0.48,157.67,158.367,160.1245
0,156.78,156.35,157.09,155.87,2121331,0.28,157.306,158.005,159.6805
0,156.62,156,156.97,155.97,2010218,-0.92,156.864,157.745,159.332
0,155.53,155,157.13,155.6,2156064,0.17,156.744,157.466,159.0185
0,153.96,151.51,155.9,154.26,2140576,-1.25,156.616,157.06,158.6745
0,150.67,149.91,154.07,150.91,2292155,-2.66,155.868,156.769,158.282
0,152.45,154.43,152,149,3182232,-4.86,154.712,156.009,157.7215
0,154.74,152.95,155.49,152.12,2911985,-1.51,153.846,155.355,157.3495
0,153.9,151.63,155.76,152.45,2968409,4.07,153.47,155.107,157.082
0,153.47,153.2,154.43,151.008,2505155,1.45,153.144,154.88,156.767
0,153.44,152.42,153.88,151.82,3368475,-1.27,153.046,154.457,156.412
0,152.52,149.36,154.38,151.778,3458366,-0.46,153.6,154.156,156.0805
0,147.87,147.59,152.85,148.96,5766459,-0.95,153.614,153.73,155.7375
0,148.73,149.33,148.275,146.05,3581729,-5.57,152.24,152.855,155.1605
0,151,148.24,149.79,148.1,2700383,-3.79,151.206,152.175,154.6175
0,147.32,146.16,151,148,3993161,3.13,150.712,151.879,154.324
0,145.55,144.95,147.84,145.22,3067920,-1.41,149.488,151.544,153.7765
